ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
0002-9602,AMERICAN JOURNAL OF SOCIOLOGY,INTERDISCIPLINAR,A1,2017-2020
0002-9610,AMERICAN JOURNAL OF SURGERY,INTERDISCIPLINAR,A2,2017-2020
0002-9629,THE AMERICAN JOURNAL OF THE MEDICAL SCIENCES,SAÚDE COLETIVA,A3,2017-2020
0002-9637,THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,EDUCAÇÃO FÍSICA,A3,2017-2020
0002-9645,AMERICAN JOURNAL OF VETERINARY RESEARCH,BIODIVERSIDADE,A3,2017-2020
0002-9726,THE JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,MATERIAIS,A4,2017-2020
0002-9890,THE AMERICAN MATHEMATICAL MONTHLY,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B2,2017-2020
0002-9920,AMERICAN MATHEMATICAL SOCIETY. NOTICES,CIÊNCIA DA COMPUTAÇÃO,B2,2017-2020
0002-9939,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A2,2017-2020
0002-9947,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A1,2017-2020
0002-9955,JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,MEDICINA I,A1,2017-2020
0003-0007,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,INTERDISCIPLINAR,A1,2017-2020
0003-004X,THE AMERICAN MINERALOGIST,GEOCIÊNCIAS,A2,2017-2020
0003-0082,AMERICAN MUSEUM NOVITATES,BIOTECNOLOGIA,A1,2017-2020
0003-0090,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0003-0147,THE AMERICAN NATURALIST,CIÊNCIAS BIOLÓGICAS III,A1,2017-2020
0003-021X,JOURNAL OF THE AMERICAN OIL CHEMISTS' SOCIETY,QUÍMICA,A3,2017-2020
0003-0554,THE AMERICAN POLITICAL SCIENCE REVIEW,ECONOMIA,A1,2017-2020
0003-066X,AMERICAN PSYCHOLOGIST,MEDICINA II,A1,2017-2020
0003-1062,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,CIÊNCIAS AGRÁRIAS I,A3,2017-2020
0003-1232,THE AMERICAN SOCIOLOGIST,HISTÓRIA,A1,2017-2020
0003-1305,THE AMERICAN STATISTICIAN,ENGENHARIAS III,A3,2017-2020
0003-1348,THE AMERICAN SURGEON,MEDICINA II,B3,2017-2020
0003-1488,JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,MEDICINA VETERINÁRIA,A3,2017-2020
0003-2409,ANAESTHESIA (LONDON. PRINT),ODONTOLOGIA,A1,2017-2020
0003-2573,ANÁLISE SOCIAL,HISTÓRIA,A3,2017-2020
0003-2638,ANALYSIS (OXFORD. PRINT),FILOSOFIA,A1,2017-2020
0003-2654,ANALYST (LONDON. 1877. PRINT),ODONTOLOGIA,A1,2017-2020
0003-2670,ANALYTICA CHIMICA ACTA,CIÊNCIA DE ALIMENTOS,A1,2017-2020
0003-2697,ANALYTICAL BIOCHEMISTRY,FARMÁCIA,A2,2017-2020
0003-2700,ANALYTICAL CHEMISTRY,CIÊNCIA DE ALIMENTOS,A1,2017-2020
0003-2719,ANALYTICAL LETTERS,CIÊNCIAS BIOLÓGICAS I,B1,2017-2020
0003-276X,JOURNAL OF PHYSICAL CHEMISTRY (1952) (CESSOU EM 1996. CONT. ISSN 1089-5639 THE JOURNAL OF PHYSICAL CHEMISTRY. A E ISSN 1520-6106 JOURNAL OF PHYSICAL CHEMISTRY. B,MEDICINA VETERINÁRIA,A4,2017-2020
0003-2999,ANESTHESIA AND ANALGESIA,BIOTECNOLOGIA,A1,2017-2020
0003-3006,ANESTHESIA PROGRESS,ODONTOLOGIA,B2,2017-2020
0003-3022,ANESTHESIOLOGY (PHILADELPHIA),MEDICINA I,A1,2017-2020
0003-3197,ANGIOLOGY (ROSLYN),MEDICINA II,A4,2017-2020
0003-3219,ANGLE ORTHODONTIST,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0003-3472,ANIMAL BEHAVIOUR,PSICOLOGIA,A1,2017-2020
0003-3804,ANNALEN DER PHYSIK (LEIPZIG),INTERDISCIPLINAR,A3,2017-2020
0003-3847,ANNALES BOTANICI FENNICI (PRINT),CIÊNCIAS AMBIENTAIS,B2,2017-2020
0003-4088,ANNALES DE LIMNOLOGIE,CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
0003-4266,ANNALES D'ENDOCRINOLOGIE,MEDICINA I,B2,2017-2020
0003-4347,ANNALS OF TELECOMMUNICATIONS,BIOTECNOLOGIA,A4,2017-2020
