ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
1677-2067,REVISTA PORTUGUESA E BRASILEIRA DE GESTÃO (RIO DE JANEIRO),CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B1,2017-2020
1677-2091,TQ - TEOLOGIA EM QUESTÃO,FILOSOFIA,B2,2017-2020
1677-2318,REVISTA BRASILEIRA DE ENSINO DE BIOQUÍMICA E BIOLOGIA MOLECULAR,CIÊNCIA DA COMPUTAÇÃO,B3,2017-2020
1677-2334,CADERNO BRASILEIRO DE ENSINO DE FÍSICA,EDUCAÇÃO,A1,2017-2020
1677-2431,SER MÉDICO (SÃO PAULO),MEDICINA I,C,2017-2020
1677-2504,REVISTA BRASILEIRA DE INOVAÇÃO,HISTÓRIA,A3,2017-2020
1677-2601,DIÁLOGO JURÍDICO (FORTALEZA. 2002),DIREITO,B2,2017-2020
1677-2644,CORRELATIO (SÃO BERNARDO DO CAMPO),INTERDISCIPLINAR,A3,2017-2020
1677-2768,REVISTA GERENCIAIS (UNINOVE. IMPRESSO),DIREITO,B3,2017-2020
1677-2784,REVISTA TRABALHISTA (RIO DE JANEIRO),SOCIOLOGIA,B3,2017-2020
1677-2806,UNIVERSITÁRIA (FACULDADES INTEGRADAS TOLEDO DE ARAÇATUBA),DIREITO,C,2017-2020
1677-2911,REVISTA TRABALHO & AMBIENTE,ENGENHARIAS III,C,2017-2020
1677-2954,ETHIC@ (UFSC),MEDICINA I,A2,2017-2020
1677-2970,REVISTA DA SPAGESP,SERVIÇO SOCIAL,A4,2017-2020
1677-2997,INTERNATIONAL JOURNAL OF DENTISTRY,ODONTOLOGIA,A3,2017-2020
1677-3055,ANALYTICA (SÃO PAULO),INTERDISCIPLINAR,B3,2017-2020
1677-3071,RESI. REVISTA ELETRÔNICA DE SISTEMAS DE INFORMAÇÃO,INTERDISCIPLINAR,B1,2017-2020
1677-3098,RECE. REVISTA ELETRÔNICA DE CIÊNCIAS DA EDUCAÇÃO,EDUCAÇÃO,B2,2017-2020
1677-3217,BRAZILIAN JOURNAL OF ORAL SCIENCES,ODONTOLOGIA,B1,2017-2020
1677-3225,BRAZILIAN JOURNAL OF ORAL SCIENCES,ODONTOLOGIA,B1,2017-2020
1677-342X,LIÇÕES,EDUCAÇÃO,C,2017-2020
1677-3527,REVISTA DE INICIAÇÃO CIENTÍFICA EM ODONTOLOGIA,BIOTECNOLOGIA,C,2017-2020
1677-3756,REVISTA BRASILEIRA DE DIREITO DESPORTIVO,DIREITO,B1,2017-2020
1677-3853,LEX. REVISTA DO DIREITO BRASILEIRO,DIREITO,C,2017-2020
1677-3861,"CIÊNCIA, CUIDADO E SAÚDE",ODONTOLOGIA,B1,2017-2020
1677-3888,ODONTOLOGIA CLÍNICO-CIENTÍFICA (IMPRESSO),ENSINO,B3,2017-2020
1677-3942,REVISTA OMNIA,EDUCAÇÃO,C,2017-2020
1677-4140,POLITICA & SOCIEDADE,SERVIÇO SOCIAL,A4,2017-2020
1677-4280,QUALIT@AS (UEPB),CIÊNCIAS AMBIENTAIS,B2,2017-2020
1677-4310,SCIENTIA AGRÁRIA PARANAENSIS (UNIOESTE. IMPRESSO),CIÊNCIAS AGRÁRIAS I,B4,2017-2020
1677-4558,REVISTA DA UNIFA (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
1677-4760,PRISMA JURÍDICO (UNINOVE. IMPRESSO),SOCIOLOGIA,A3,2017-2020
1677-4833,ESPAÇOS (SÃO PAULO),CIÊNCIAS DA RELIGIÃO E TEOLOGIA,C,2017-2020
1677-499X,SINERGIA (CEFETSP),ENSINO,C,2017-2020
1677-5090,REVISTA CIÊNCIAS MÉDICAS E BIOLÓGICAS,MEDICINA I,A4,2017-2020
1677-5449,JORNAL VASCULAR BRASILEIRO (ONLINE),BIOTECNOLOGIA,B3,2017-2020
1677-5473,TEXTO PARA DISCUSSÃO (BRASÍLIA),MEDICINA VETERINÁRIA,B2,2017-2020
1677-5538,INTERNATIONAL BRAZ J UROL,MEDICINA II,A4,2017-2020
1677-5600,CADERNO DE PESQUISA. SÉRIE BIOLOGIA (UNISC),PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,B4,2017-2020
1677-5627,REVISTA DA FADIVALE,COMUNICAÇÃO E INFORMAÇÃO,B3,2017-2020
1677-5716,REVISTA CIENTEFICO,SAÚDE COLETIVA,B3,2017-2020
1677-5937,TERAPIA MANUAL,SAÚDE COLETIVA,B2,2017-2020
1677-6062,REVISTA DE CIÊNCIAS AGRO-AMBIENTAIS (ONLINE),CIÊNCIAS AGRÁRIAS I,B4,2017-2020
1677-6097,EDUCAÇÃO E EMANCIPAÇÃO (UFMA),INTERDISCIPLINAR,A3,2017-2020
1677-6119,INTERNATIONAL BRAZILIAN JOURNAL OF UROLOGY (ONLINE),FARMÁCIA,A4,2017-2020
1677-6402,REVISTA JURÍDICA CESUMAR. MESTRADO,DIREITO,A2,2017-2020
1677-6569,BOLETIM DO PARQUE NACIONAL DE ITATIAIA,HISTÓRIA,B3,2017-2020
1677-6623,RAÍZES (FORTALEZA),SOCIOLOGIA,B4,2017-2020
1677-6666,ODONTOLOGIA CLÍNICO-CIENTÍFICA (ONLINE),ODONTOLOGIA,B3,2017-2020
1677-6704,REVISTA ODONTOLÓGICA DE ARAÇATUBA,MEDICINA I,B4,2017-2020
1677-6747,REVISTA DE GESTALT,EDUCAÇÃO,C,2017-2020
1677-6976,CADERNO VIRTUAL DE TURISMO,SOCIOLOGIA,A4,2017-2020
1677-7166,"CADERNOS DE PESQUISA. PROGRAMA DE PÓS-GRADUACAO EM SOCIOLOGIA POLITICA, UNIVERSIDADE FEDERAL DE SANTA CATARINA",SERVIÇO SOCIAL,B4,2017-2020
1677-7247,REVISTA DA ACADEMIA BRASILEIRA DE LETRAS,LINGUíSTICA E LITERATURA,B3,2017-2020
1677-7301,JORNAL VASCULAR BRASILEIRO,BIOTECNOLOGIA,B3,2017-2020
1677-7387,RECADM : REVISTA ELETRÔNICA DE CIÊNCIA ADMINISTRATIVA,MEDICINA II,A4,2017-2020
1677-7395,PARANOÁ,GEOGRAFIA,A3,2017-2020
1677-7409,PSICOLOGIA HOSPITALAR,PSICOLOGIA,B1,2017-2020
1677-7522,REVISTA DE SAÚDE COLETIVA DA UEFS,SOCIOLOGIA,B3,2017-2020
1677-7603,DIÁLOGOS POSSÍVEIS (FSBA),ENSINO,A4,2017-2020
1677-7794,CANTAREIRA (UFF),CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B1,2017-2020
1677-7840,CADERNOS BRASILEIROS DE MEDICINA,CIÊNCIAS BIOLÓGICAS II,B4,2017-2020
1677-7883,COLETÂNEA (RIO DE JANEIRO),INTERDISCIPLINAR,A3,2017-2020
1677-8049,GEOGRAFIA (UFPI),CIÊNCIAS AMBIENTAIS,B1,2017-2020
1677-8081,REVISTA PLANTIO DIRETO,GEOCIÊNCIAS,B4,2017-2020
1677-809X,ARGUMENTUM,INTERDISCIPLINAR,B3,2017-2020
1677-8308,REVISTA UNIFAMMA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4,2017-2020
1677-8510,REVISTA BRASILEIRA DE FISIOLOGIA DO EXERCÍCIO,EDUCAÇÃO,B3,2017-2020
1677-860X,CAMINHANDO COM O ITEPA,COMUNICAÇÃO E INFORMAÇÃO,B4,2017-2020
1677-874X,BIODIVERSIDADE (UFMT. IMPRESSO),CIÊNCIAS AMBIENTAIS,B4,2017-2020
1677-8898,REVISTA DIÁLOGOS: PESQUISA E EXTENSÃO UNIVERSITÁRIA,"ARQUITETURA, URBANISMO E DESIGN",B4,2017-2020
1677-8979,HERMES (SÃO PAULO),PSICOLOGIA,A4,2017-2020
1677-9010,CADERNO ASLEGIS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B2,2017-2020
1677-9037,REVISTA UFG (IMPRESSO),DIREITO,B1,2017-2020
1677-9045,TURISMO & PESQUISA (FEA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4,2017-2020
1677-9061,CADERNOS DE COMUNICAÇÃO (UFSM),SOCIOLOGIA,B2,2017-2020
1677-907X,ANIMUS,LINGUíSTICA E LITERATURA,B1,2017-2020
1677-9126,TEXTUAL (PORTO ALEGRE),PSICOLOGIA,C,2017-2020
1677-9169,REVISTA DO HOSPITAL UNIVERSITÁRIO GETÚLIO VARGAS,MEDICINA III,B4,2017-2020
1677-941X,ACTA BOTANICA BRASILICA,ENSINO,A4,2017-2020
1677-9479,REVISTA GESTÃO & TECNOLOGIA,"ARQUITETURA, URBANISMO E DESIGN",A4,2017-2020
1677-9487,ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA & METABOLOGIA ON LINE,MEDICINA I,B2,2017-2020
1677-9509,REVISTA TEXTOS & CONTEXTOS,ODONTOLOGIA,A1,2017-2020
1677-9576,CADERNO MARISTA DE EDUCAÇÃO,EDUCAÇÃO,C,2017-2020
1677-9665,REVISTA CIÊNCIAS SOCIAIS EM PERSPECIVA,ECONOMIA,B3,2017-2020
1677-9711,ALMANAQUE DE PSICANÁLISE E SAÚDE MENTAL,SAÚDE COLETIVA,B4,2017-2020
1677-9762,REVISTA GESTÃO E CONHECIMENTO,SOCIOLOGIA,C,2017-2020
1677-9770,HORIZONTES (UNB),EDUCAÇÃO,C,2017-2020
1677-9797,REVISTA DESEMPENHO,SAÚDE COLETIVA,B3,2017-2020
1677-9878,PRÁXIS EVANGÉLICA,HISTÓRIA,C,2017-2020
1678-0027,KALEIDOS (BARBACENA),PSICOLOGIA,B4,2017-2020
1678-0272,REVISTA DA ACADEMIA PARANAENSE DE LETRAS JURÍDICAS,DIREITO,B4,2017-2020
1678-0345,ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO),MEDICINA II,B2,2017-2020
1678-037X,CIRCULAR TÉCNICA - EMBRAPA GADO DE LEITE,CIÊNCIA DE ALIMENTOS,C,2017-2020
1678-040X,REVISTA DA SOCIEDADE CEARENSE DE CARDIOLOGIA,MEDICINA I,C,2017-2020
1678-0450,REVISTA DA ESMAL,DIREITO,B2,2017-2020
1678-0493,DIÁLOGOS & CIÊNCIA (ONLINE),EDUCAÇÃO,B1,2017-2020
1678-0531,LIAMES (UNICAMP),LINGUíSTICA E LITERATURA,A2,2017-2020
1678-054X,REVISTA DE ATENÇÃO À SAÚDE,ODONTOLOGIA,B2,2017-2020
1678-068X,R.E.V.I. REVISTA DE ESTUDOS DO VALE IGUAÇU,INTERDISCIPLINAR,B4,2017-2020
1678-0795,MOMENTUM (ATIBAIA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
1678-0817,REVISTA FISIO&TERAPIA,SAÚDE COLETIVA,B2,2017-2020
1678-1007,"TRABALHO, EDUCAÇÃO E SAÚDE (IMPRESSO)",DIREITO,B1,2017-2020
1678-1244,CADERNOS DA FUCAMP,PSICOLOGIA,A4,2017-2020
1678-1252,REVISTA SETREM,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,B2,2017-2020
1678-166X,REVISTA BRASILEIRA DE POLÍTICA E ADMINISTRAÇÃO DA EDUCAÇÃO,INTERDISCIPLINAR,A1,2017-2020
1678-1740,CONVERSAS INTERDISCIPLINARES,SAÚDE COLETIVA,B4,2017-2020
1678-1805,REVISTA DA ABRALIN,LINGUíSTICA E LITERATURA,A3,2017-2020
1678-1813,REVISTA ENFOQUES (RIO DE JANEIRO),SOCIOLOGIA,B2,2017-2020
1678-1821,DESAFIO (CAMPO GRANDE),ENGENHARIAS III,B1,2017-2020
1678-1864,REVISTA DO INSTITUTO DE HERMENÊUTICA JURÍDICA,LINGUíSTICA E LITERATURA,A3,2017-2020
1678-1872,CADERNOS NEOLATINOS (UFRJ. CD-ROM),LINGUíSTICA E LITERATURA,C,2017-2020
1678-1988,TEXTO PARA DISCUSSÃO (UFPI),INTERDISCIPLINAR,B1,2017-2020
1678-2054,TERRA ROXA E OUTRAS TERRAS,COMUNICAÇÃO E INFORMAÇÃO,A1,2017-2020
1678-2089,CONTEXTUS (FORTALEZA),CIÊNCIAS BIOLÓGICAS II,B1,2017-2020
1678-2305,BOLETIM DO INSTITUTO DE PESCA (ONLINE),ENSINO,A4,2017-2020
1678-2402,INTERCURSOS (ITUIUTABA),CIÊNCIAS AMBIENTAIS,B4,2017-2020
1678-2410,ENFERMAGEM BRASIL,MEDICINA II,B2,2017-2020
1678-2593,PRIM@ FACIE,SERVIÇO SOCIAL,A4,2017-2020
1678-2674,ACTA CIRÚRGICA BRASILEIRA (ONLINE),ENSINO,A4,2017-2020
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE),FARMÁCIA,A2,2017-2020
1678-2933,CADERNOS DA ESCOLA DE DIREITO E RELAÇÕES INTERNACIONAIS DA UNIBRASIL,DIREITO,A2,2017-2020
1678-3034,CAMINHOS (UCG. IMPRESSO),INTERDISCIPLINAR,A2,2017-2020
1678-3085,REVISTA DA SEÇÃO JUDICIÁRIA DO RIO DE JANEIRO,CIÊNCIAS AMBIENTAIS,B2,2017-2020
1678-3166,SCIENTIAE STUDIA (USP),INTERDISCIPLINAR,A2,2017-2020
1678-3182,REVISTA ELETRÔNICA DO INSTITUTO DE HUMANIDADES,CIÊNCIAS AMBIENTAIS,B2,2017-2020
1678-3387,JBT. JORNAL BRASILEIRO DE TRANSPLANTES,MEDICINA I,C,2017-2020
1678-3425,VIRTUAJUS (PUCMG),DIREITO,B1,2017-2020
1678-3468,ANALÓGOS (PUCRJ),"ARQUITETURA, URBANISMO E DESIGN",B3,2017-2020
1678-3484,REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DO RIO GRANDE DO SUL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
1678-3638,CADERNOS THEMIS: GÊNERO E DIREITO (IMPRESSO),SOCIOLOGIA,B4,2017-2020
1678-3697,TD. TEORIA E DEBATE,SOCIOLOGIA,A4,2017-2020
1678-3778,REVISTA DIALÉTICA DE DIREITO PROCESSUAL,DIREITO,C,2017-2020
1678-3867,REVISTA CIENTÍFICA ELETRÔNICA DE ENGENHARIA FLORESTAL,CIÊNCIAS AGRÁRIAS I,B4,2017-2020
1678-3921,PESQUISA AGROPECUÁRIA BRASILEIRA (ONLINE),ZOOTECNIA / RECURSOS PESQUEIROS,A4,2017-2020
1678-4057,REVISTA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL,GEOGRAFIA,B4,2017-2020
1678-4103,CADERNOS DE PÓS-GRADUAÇÃO (UNINOV),EDUCAÇÃO,B1,2017-2020
1678-4162,ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE),CIÊNCIAS BIOLÓGICAS I,B1,2017-2020
1678-4170,ARQUIVOS BRASILEIROS DE CARDIOLOGIA,MEDICINA II,B2,2017-2020
1678-4219,ARQUIVOS DE GASTROENTEROLOGIA (ONLINE),CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
1678-4227,ARQUIVOS DE NEURO-PSIQUIATRIA,SOCIOLOGIA,B2,2017-2020
1678-4324,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,ENSINO,A4,2017-2020
1678-4375,BRAZILIAN JOURNAL OF BIOLOGY (ONLINE),INTERDISCIPLINAR,A3,2017-2020
1678-4383,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (ONLINE),INTERDISCIPLINAR,A3,2017-2020
1678-4391,THE BRAZILIAN JOURNAL OF INFECTIOUS DISEASES (ONLINE),CIÊNCIA DE ALIMENTOS,B1,2017-2020
1678-4405,BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE),ENSINO,A2,2017-2020
1678-4448,BRAZILIAN JOURNAL OF PHYSICS,QUÍMICA,A3,2017-2020
1678-4456,BRAZILIAN JOURNAL OF VETERINARY RESEARCH AND ANIMAL SCIENCE (ONLINE),ODONTOLOGIA,B1,2017-2020
1678-4464,CADERNOS DE SAUDE PUBLICA,CIÊNCIA DE ALIMENTOS,A1,2017-2020
1678-4499,BRAGANTIA.,INTERDISCIPLINAR,A3,2017-2020
1678-4553,CERÂMICA,ODONTOLOGIA,B1,2017-2020
1678-4561,CIÊNCIA & SAÚDE COLETIVA (ONLINE),DIREITO,A1,2017-2020
1678-457X,CIENCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIAS BIOLÓGICAS II,B1,2017-2020
1678-4588,DADOS - REVISTA DE CIÊNCIAS SOCIAIS,DIREITO,A1,2017-2020
1678-4596,CIÊNCIA RURAL,MEDICINA II,A4,2017-2020
1678-460X,REVISTA DIGITAL DA FACULDADE DE COMUNICAÇÃO E FILOSOFIA,INTERDISCIPLINAR,A1,2017-2020
1678-4618,ECLÉTICA QUÍMICA,BIOTECNOLOGIA,B3,2017-2020
1678-4626,EDUCAÇÃO & SOCIEDADE,DIREITO,A1,2017-2020
1678-4634,EDUCAÇÃO E PESQUISA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,A1,2017-2020
1678-4669,ESTUDOS DE PSICOLOGIA (NATAL. ONLINE),CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,A1,2017-2020
1678-4685,GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION),BIODIVERSIDADE,A3,2017-2020
1678-4758,"HISTÓRIA, CIÊNCIAS, SAÚDE-MANGUINHOS (ONLINE)",NUTRIÇÃO,A1,2017-2020
1678-4766,IHERINGIA. SÉRIE ZOOLOGIA (ONLINE),CIÊNCIAS BIOLÓGICAS I,B1,2017-2020
1678-4774,JORNAL BRASILEIRO DE PATOLOGIA E HEMATOLOGIA LABORATORIAL,INTERDISCIPLINAR,B3,2017-2020
1678-4782,JORNAL DE PEDIATRIA (ONLINE),EDUCAÇÃO FÍSICA,A3,2017-2020
1678-4790,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE),MATERIAIS,A2,2017-2020
1678-4804,JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (ONLINE),ENGENHARIAS IV,A2,2017-2020
1678-4855,DESENVOLVIMENTO EM QUESTÃO,SOCIOLOGIA,A4,2017-2020
1678-488X,ACTIO (FACULDADES MARINGÁ),ENSINO,C,2017-2020
1678-4944,MANA (RIO DE JANEIRO. ONLINE),LINGUíSTICA E LITERATURA,A1,2017-2020
1678-5002,REVISTA DE ECONOMIA MACKENZIE (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
1678-5029,CADERNOS DO PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO - PPGDIR./UFRGS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B1,2017-2020
1678-5142,PESQUISA OPERACIONAL,CIÊNCIAS AMBIENTAIS,B2,2017-2020
1678-5150,PESQUISA VETERINÁRIA BRASILEIRA (ONLINE),MEDICINA I,A4,2017-2020
1678-5169,POLÍMEROS:CIÊNCIA E TECNOLOGIA,ASTRONOMIA / FÍSICA,A3,2017-2020
1678-5177,PSICOLOGIA-UNIVERSIDADE DE SP-USP (IMPRESSO),ENSINO,A2,2017-2020
1678-5304,CADERNOS PARA O PROFESSOR (JUIZ DE FORA),ENSINO,C,2017-2020
1678-5320,ARS (SÃO PAULO),COMUNICAÇÃO E INFORMAÇÃO,A1,2017-2020
1678-5398,UNIVERSITAS. CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,B2,2017-2020
1678-5428,EXACTA (SÃO PAULO. IMPRESSO),INTERDISCIPLINAR,B1,2017-2020
1678-5622,REVISTA DE EDUCAÇÃO POPULAR,SERVIÇO SOCIAL,A4,2017-2020
1678-5738,REVISTA DE ENGENHARIA DA UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,"ARQUITETURA, URBANISMO E DESIGN",B2,2017-2020
1678-586X,CADERNOS DO CHDD. CENTRO DE HISTÓRIA E DOCUMENTAÇÃO DIPLOMÁTICA (FUNAG),CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B4,2017-2020
1678-5878,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (IMPRESSO),ENSINO,A4,2017-2020
1678-6254,MOSAICO (SÃO JOSÉ DO RIO PRETO),LINGUíSTICA E LITERATURA,B4,2017-2020
1678-6343,CAMINHOS DE GEOGRAFIA (UFU),DIREITO,A1,2017-2020
1678-6408,PROTESTANTISMO EM REVISTA,EDUCAÇÃO,A3,2017-2020
1678-6424,BIOTA NEOTROPICA,BIODIVERSIDADE,B1,2017-2020
1678-6475,HABITUS (UCG),INTERDISCIPLINAR,A2,2017-2020
1678-6483,"RACE. REVISTA DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA",INTERDISCIPLINAR,A4,2017-2020
1678-6602,NUCLEUS (ITUVERAVA. IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4,2017-2020
1678-6661,IMPLANTNEWS,ODONTOLOGIA,C,2017-2020
1678-6742,REVISTA LATINO-AMERICANA DE ESTUDOS CONSTITUCIONAIS,DIREITO,C,2017-2020
1678-6770,HEADACHE MEDICINE,EDUCAÇÃO FÍSICA,C,2017-2020
1678-6777,REVISTA FORENSE ELETRÔNICA,FARMÁCIA,B1,2017-2020
1678-6785,SYNESIS (RIO DE JANEIRO),FILOSOFIA,A3,2017-2020
1678-6971,RAM. REVISTA DE ADMINISTRAÇÃO MACKENZIE (ONLINE),CIÊNCIAS BIOLÓGICAS II,A2,2017-2020
1678-698X,ESTUDOS GEOGRÁFICOS (UNESP),EDUCAÇÃO,A3,2017-2020
1678-7064,QUÍMICA NOVA (ONLINE),ENSINO,A4,2017-2020
1678-7072,REVISTA BRASILEIRA DE DIREITO PÚBLICO,INTERDISCIPLINAR,B1,2017-2020
1678-7099,RB. RADIOLOGIA BRASILEIRA,ENSINO,A4,2017-2020
1678-7102,REVISTA DE DIREITO PÚBLICO DA ECONOMIA,INTERDISCIPLINAR,A4,2017-2020
1678-7145,CONFLUÊNCIAS (NITERÓI),SOCIOLOGIA,A4,2017-2020
1678-7153,PSICOLOGIA: REFLEXÃO E CRÍTICA,INTERDISCIPLINAR,A1,2017-2020
1678-7226,REVISTA GEOGRÁFICA ACADÊMICA,INTERDISCIPLINAR,A1,2017-2020
1678-7250,INDÚSTRIA DE LATICÍNIOS,CIÊNCIA DE ALIMENTOS,C,2017-2020
1678-7293,INESC EM REVISTA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,C,2017-2020
1678-7471,ÁGUA VIVA (UNB),INTERDISCIPLINAR,B3,2017-2020
1678-7544,BULLETIN BRAZILIAN MATHEMATICAL SOCIETY (IMPRESSO),INTERDISCIPLINAR,A4,2017-2020
1678-7641,TRANSVERSAL (SÃO PAULO),INTERDISCIPLINAR,C,2017-2020
1678-765X,REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO,EDUCAÇÃO,A3,2017-2020
1678-7684,MARGEM ESQUERDA,INTERDISCIPLINAR,B4,2017-2020
1678-7706,REVISTA DE INICIAÇÃO CIENTÍFICA (CRICIÚMA),DIREITO,C,2017-2020
1678-7714,BULLETIN BRAZILIAN MATHEMATICAL SOCIETY (ONLINE),MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A4,2017-2020
1678-7757,JOURNAL OF APPLIED ORAL SCIENCE (IMPRESSO),CIÊNCIAS BIOLÓGICAS II,A2,2017-2020
1678-7765,JOURNAL OF APPLIED ORAL SCIENCE (ONLINE),CIÊNCIAS BIOLÓGICAS II,A2,2017-2020
1678-7846,APRENDER (VITÓRIA DA CONQUISTA),SOCIOLOGIA,B2,2017-2020
1678-8052,NEOTROPICAL ENTOMOLOGY,INTERDISCIPLINAR,A4,2017-2020
1678-8060,MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE),ZOOTECNIA / RECURSOS PESQUEIROS,A4,2017-2020
1678-832X,INFORMAÇÕES ECONÔMICAS (ONLINE),ECONOMIA,C,2017-2020
1678-8346,REVISTA CERRADOS (UNIMONTES),SOCIOLOGIA,A4,2017-2020
1678-8419,P@RTES (SÃO PAULO),GEOGRAFIA,B2,2017-2020
1678-8621,AMBIENTE CONSTRUÍDO (ONLINE),INTERDISCIPLINAR,A3,2017-2020
1678-8648,FÓRUM ADMINISTRATIVO,INTERDISCIPLINAR,A4,2017-2020
1678-8656,FÓRUM DE DIREITO TRIBUTÁRIO,ECONOMIA,B3,2017-2020
1678-8729,REVISTA ELETRÔNICA DE DIREITO DO CENTRO UNIVERSITÁRIO NEWTON PAIVA,INTERDISCIPLINAR,A4,2017-2020
1678-8931,REVISTA VIRTUAL DE ESTUDOS DA LINGUAGEM,ENSINO,A2,2017-2020
1678-9059,COLÓQUIO (TAQUARA),SOCIOLOGIA,A4,2017-2020
1678-9172,REVISTA DA FA7,EDUCAÇÃO,C,2017-2020
1678-9180,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES (CD-ROM),CIÊNCIAS BIOLÓGICAS II,A2,2017-2020
1678-9199,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES (ONLINE),ENGENHARIAS IV,A2,2017-2020
1678-9350,REVISTA DA FACULDADE DE DIREITO DE SETE LAGOAS,INTERDISCIPLINAR,C,2017-2020
1678-9512,REVISTA JURÍDICA (RIO VERDE),DIREITO,A4,2017-2020
1678-9563,PSICOLOGIA EM REVISTA (ONLINE),GEOGRAFIA,A2,2017-2020
1678-9741,BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY,MEDICINA III,A4,2017-2020
1678-9822,REVISTA COMUNICAÇÃO MIDIÁTICA,COMUNICAÇÃO E INFORMAÇÃO,B1,2017-2020
1678-9849,SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA,NUTRIÇÃO,B1,2017-2020
1678-9857,REVISTA DE ANTROPOLOGIA,INTERDISCIPLINAR,A1,2017-2020
1678-9865,REVISTA DE NUTRIÇÃO-BRAZILIAN JOURNAL OF NUTRTION,MEDICINA I,B2,2017-2020
1678-9873,REVISTA DE SOCIOLOGIA E POLÍTICA,INTERDISCIPLINAR,A1,2017-2020
1678-9881,JOURNAL OF BRAZILIAN SOCIETY OF MICROBIOLOGY (ONLINE),CIÊNCIA DE ALIMENTOS,C,2017-2020
1678-992X,SCIENTIA AGRICOLA,ENGENHARIAS II,A2,2017-2020
1678-9946,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO,CIÊNCIA DE ALIMENTOS,B1,2017-2020
1679-0073,NATUREZA & CONSERVAÇÃO,CIÊNCIAS AMBIENTAIS,A1,2017-2020
1679-0154,BOLETIM DE PESQUISA E DESENVOLVIMENTO (EMBRAPA MILHO E SORGO,CIÊNCIAS AGRÁRIAS I,C,2017-2020
1679-0359,SEMINA. CIÊNCIAS AGRÁRIAS (ONLINE),MEDICINA I,A4,2017-2020
1679-0367,SEMINA. CIÊNCIAS BIOLÓGICAS E DA SAÚDE,BIOTECNOLOGIA,B3,2017-2020
1679-0375,SEMINA. CIÊNCIAS EXATAS E TECNOLÓGICAS (ONLINE),QUÍMICA,B4,2017-2020
