referencia,coordenador,financiadora,tipo,ano,aprovado,executado,pesquisa
363 - CORRE SANKOFA,FRANCISCO DE DEUS FONSECA NETO,Ministério da Igualdade Racial - MIR,Extensão,2026,180000.0,0.0,False
364 - Comunica Jovem,André Rocha Pimenta,Ministério da Igualdade Racial - MIR,Extensão,2026,640800.0,0.0,False
365 - Implementação do Programa Nacional de Segurança com Ci,Pablo Augusto Panetto De Morais,SECRETARIA NACIONAL DE POLÍTICAS SOBRE DROGAS E GESTÃO DE ATIVOS - SENAD,Extensão,2026,7995674.29,0.0,False
366 - Solo Vivo Paulista (EMBRAPRO),Luciano Delmondes de Alencar,Ministério do Desenvolvimento Agrário e Agricultura Familiar,Extensão,2026,6000000.0,0.0,False
367 - APERFEIÇOAMENTO DE COMPETÊNCIAS E HABILIDADES TÉCNICAS,Carlos Eduardo Pagani,The UK Online Giving Foundation,Ensino e Extensão,2026,349990.06,0.0,False
368 - Laboratório do Mundo Real (Real-World Lab),Leopoldo Cavaleri Gerhardinger,The University of Rhode Island,Pesquisa e Extensão,2026,330000.0,0.0,True
369 - Apoio à Manutenção do LMTA-IFAL: Laboratório Multiusuá,Johnnatan Duarte de Freitas,Financiadora de Estudos e Projetos - Finep,"Pesquisa, Desenvolvimento e Inovação",2026,1815722.71,86462.89,True
370 - Diálogos com histórias e memórias capixabas: o Sítio H,Bruno dos Santos Prado Moura,Instituto Histórico e Geográfico de Vila Velha (Casa da Memória) - IHGVV,Extensão,2026,180000.0,0.0,False
371 - LMTA-IFAL: Laboratório  Multiusuário de Tecnologias Am,Johnnatan Duarte de Freitas,Financiadora de Estudos e Projetos - Finep,"Pesquisa, Desenvolvimento e Inovação",2026,11464029.37,0.0,True
372 - Estudos de Impacto de Danos (EIDs) e a processos de Co,Alexandre Pereira Chahad,Ministério dos Povos Indígenas (MPI),"Pesquisa, Desenvolvimento e Inovação",2026,14580700.0,804738.61,True
373 - Projeto Básico Processos Seletivos 2027,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2026,4259432.83,0.0,False
374 - PS TÉCNICO 2027/1 e 2027/2,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2026,0.0,0.0,False
375 - PS GRADUAÇÃO 2027,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2026,832343.76,0.0,False
376 - PS SISU 2027,SANANDREIA TOREZANI PERINNI,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2026,0.0,0.0,False
377 - Esporte e Cultura no Campo - EMBRAPRO,Marcelo Velloso Heeren,Ministério do Desenvolvimento Agrário e Agricultura Familiar,Extensão,2026,1500000.0,0.0,False
380 - Programa Mulheres Mil - Ciclo 5 + Cuidados - Cuidoteca,Flávia Nascimento Ribeiro,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE A FOME",Extensão,2026,217950.54,0.0,False
381 - Estudo de variáveis químicas associadas à ocorrência d,Felipe Fardin Grillo,Arcelormittal Brasil S.A,"Pesquisa, Desenvolvimento e Inovação",2026,79480.0,0.0,True
